timestamp,account_value,date,time
2025-09-29T14:10:19.601591,357221.40,2025-09-29,14:10:19
2025-09-29T14:11:15.032770,357144.02,2025-09-29,14:11:15
2025-09-29T14:16:44.138976,356648.37,2025-09-29,14:16:44
2025-09-29T14:23:44.020491,356273.49,2025-09-29,14:23:44
2025-09-29T14:27:17.937084,356263.34,2025-09-29,14:27:17
2025-09-29T14:34:10.565478,356200.02,2025-09-29,14:34:10
2025-09-29T14:34:46.278601,356282.06,2025-09-29,14:34:46
2025-09-29T14:37:01.641928,356032.27,2025-09-29,14:37:01
2025-09-29T14:37:45.873871,356037.66,2025-09-29,14:37:45
2025-09-29T14:38:32.567199,356050.28,2025-09-29,14:38:32
2025-09-29T14:40:07.342647,356241.31,2025-09-29,14:40:07
2025-09-29T14:53:00.161669,356377.67,2025-09-29,14:53:00
2025-09-29T14:55:40.592372,356256.87,2025-09-29,14:55:40
2025-09-29T15:28:02.921320,356386.36,2025-09-29,15:28:02
2025-09-29T15:29:39.370217,356547.63,2025-09-29,15:29:39
2025-09-29T15:31:20.378693,356581.30,2025-09-29,15:31:20
2025-09-29T15:37:48.306835,356355.61,2025-09-29,15:37:48
2025-09-29T15:38:08.553362,356335.27,2025-09-29,15:38:08
2025-09-29T15:44:37.671405,356288.00,2025-09-29,15:44:37
2025-09-29T15:44:40.296083,356290.77,2025-09-29,15:44:40
2025-09-29T15:44:40.998970,356297.57,2025-09-29,15:44:40
2025-09-29T15:44:45.250020,356346.37,2025-09-29,15:44:45
2025-09-29T15:44:48.885737,356382.80,2025-09-29,15:44:48
2025-09-29T15:44:49.713722,356382.80,2025-09-29,15:44:49
2025-09-29T15:44:50.440322,356327.30,2025-09-29,15:44:50
2025-09-29T15:44:51.383367,356374.05,2025-09-29,15:44:51
2025-09-29T15:44:52.961782,356375.01,2025-09-29,15:44:52
2025-09-29T15:44:54.677987,356372.55,2025-09-29,15:44:54
2025-09-29T15:45:32.425125,356418.45,2025-09-29,15:45:32
2025-09-29T15:46:19.175988,356400.90,2025-09-29,15:46:19
2025-09-29T15:46:50.083152,356246.38,2025-09-29,15:46:50
2025-09-29T15:46:52.615697,356259.13,2025-09-29,15:46:52
2025-09-29T15:46:53.544126,356256.23,2025-09-29,15:46:53
2025-09-29T15:46:57.382272,356311.93,2025-09-29,15:46:57
2025-09-29T15:47:00.956409,356303.92,2025-09-29,15:47:00
2025-09-29T15:47:01.613171,356305.64,2025-09-29,15:47:01
2025-09-29T15:47:02.279462,356273.36,2025-09-29,15:47:02
2025-09-29T15:47:03.810076,356390.60,2025-09-29,15:47:03
2025-09-29T15:47:05.592162,356392.60,2025-09-29,15:47:05
2025-09-29T15:49:05.300894,356313.43,2025-09-29,15:49:05
2025-09-29T15:50:36.461772,356205.63,2025-09-29,15:50:36
2025-09-29T15:50:42.083625,356219.21,2025-09-29,15:50:42
2025-09-29T15:50:47.806119,356230.68,2025-09-29,15:50:47
2025-09-29T15:51:41.620957,356420.95,2025-09-29,15:51:41
2025-09-29T15:51:44.104573,356365.25,2025-09-29,15:51:44
2025-09-29T15:51:44.698046,356416.64,2025-09-29,15:51:44
2025-09-29T15:51:47.980614,356402.55,2025-09-29,15:51:47
2025-09-29T15:51:51.243295,356345.58,2025-09-29,15:51:51
2025-09-29T15:51:51.812299,356350.67,2025-09-29,15:51:51
2025-09-29T15:51:52.375350,356351.30,2025-09-29,15:51:52
2025-09-29T15:51:54.221872,356287.00,2025-09-29,15:51:54
2025-09-29T15:51:55.710468,356334.01,2025-09-29,15:51:55
2025-09-29T15:52:58.994870,356137.51,2025-09-29,15:52:58
2025-09-29T15:53:01.586465,356123.46,2025-09-29,15:53:01
2025-09-29T15:53:02.198076,356141.56,2025-09-29,15:53:02
2025-09-29T15:53:06.221484,356113.55,2025-09-29,15:53:06
2025-09-29T15:53:09.246721,356112.25,2025-09-29,15:53:09
2025-09-29T15:53:09.808505,356111.07,2025-09-29,15:53:09
2025-09-29T15:53:10.335961,356111.40,2025-09-29,15:53:10
2025-09-29T15:53:11.804286,356106.42,2025-09-29,15:53:11
2025-09-29T15:53:13.215584,356106.42,2025-09-29,15:53:13
2025-09-29T15:54:00.056236,356275.73,2025-09-29,15:54:00
2025-09-29T15:54:02.579077,356266.56,2025-09-29,15:54:02
2025-09-29T15:54:03.201367,356280.02,2025-09-29,15:54:03
2025-09-29T15:54:06.506967,356266.01,2025-09-29,15:54:06
2025-09-29T15:54:10.844989,356259.58,2025-09-29,15:54:10
2025-09-29T15:54:11.455146,356200.86,2025-09-29,15:54:11
2025-09-29T15:54:12.935070,356253.46,2025-09-29,15:54:12
2025-09-29T15:54:14.369967,356252.10,2025-09-29,15:54:14
2025-09-29T15:54:16.013989,356253.46,2025-09-29,15:54:16
2025-09-29T15:55:06.294713,356255.52,2025-09-29,15:55:06
2025-09-29T15:55:14.639401,356258.34,2025-09-29,15:55:14
2025-09-29T15:55:17.813763,356258.21,2025-09-29,15:55:17
2025-09-29T15:55:18.909357,356258.31,2025-09-29,15:55:18
2025-09-29T15:55:29.133571,356345.48,2025-09-29,15:55:29
2025-09-29T15:55:39.177367,356307.93,2025-09-29,15:55:39
2025-09-29T15:55:41.023950,356236.98,2025-09-29,15:55:41
2025-09-29T15:55:42.108252,356238.48,2025-09-29,15:55:42
2025-09-29T15:55:44.994927,356245.91,2025-09-29,15:55:44
2025-09-29T15:55:47.789706,356235.79,2025-09-29,15:55:47
